scenario,supply_ratio,seed,num_tasks,num_volunteers,total_demand,method,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
resource_rich,1.3,0,10,26,20,Greedy,10,38,1.0,1.0,21.919401291149786,2.1919401291149785,0.5768263497670997
resource_rich,1.3,0,10,26,20,Optimization,10,38,1.0,1.0,17.084996091117095,1.7084996091117095,0.4496051602925551
resource_rich,1.3,1,10,25,19,Greedy,10,34,1.0,1.0,15.117480261878297,1.5117480261878298,0.4446317724081852
resource_rich,1.3,1,10,25,19,Optimization,10,34,1.0,1.0,14.092331613315647,1.4092331613315647,0.41448034156810726
resource_rich,1.3,2,10,31,24,Greedy,10,33,1.0,1.0,20.706633188145055,2.0706633188145056,0.6274737329740926
resource_rich,1.3,2,10,31,24,Optimization,10,33,1.0,1.0,17.8800836997776,1.78800836997776,0.5418207181750788
resource_rich,1.3,3,10,25,19,Greedy,10,34,1.0,1.0,15.483264616085693,1.5483264616085692,0.45539013576722626
resource_rich,1.3,3,10,25,19,Optimization,10,34,1.0,1.0,15.331585455816068,1.5331585455816068,0.45092898399459025
resource_rich,1.3,4,10,21,16,Greedy,9,29,0.9,0.9666666666666667,15.296206354916556,1.6995784838796173,0.5274553915488468
resource_rich,1.3,4,10,21,16,Optimization,9,29,0.9,0.9666666666666667,13.838318523003322,1.537590947000369,0.47718339734494214
resource_rich,1.3,5,10,18,14,Greedy,9,22,0.9,0.9565217391304348,15.942940072829167,1.7714377858699075,0.7246790942195076
resource_rich,1.3,5,10,18,14,Optimization,10,23,1.0,1.0,15.592618478142827,1.5592618478142826,0.6779399338322968
resource_rich,1.3,6,10,23,18,Greedy,9,31,0.9,0.96875,19.13746098894602,2.126384554327336,0.6173374512563232
resource_rich,1.3,6,10,23,18,Optimization,10,32,1.0,1.0,15.998346345499844,1.5998346345499843,0.4999483232968701
resource_rich,1.3,7,10,21,16,Greedy,10,22,1.0,1.0,21.57515654222377,2.157515654222377,0.980688933737444
