seed,alpha,beta,supply_ratio,num_tasks,num_volunteers,total_demand,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
8,2.0,1.0,1.0,10,24,24,9,27,0.9,0.9642857142857143,16.509411903853238,1.8343791004281376,0.6114597001427126
8,5.0,1.0,1.0,10,24,24,10,28,1.0,1.0,20.8095148040632,2.08095148040632,0.7431969572879714
8,10.0,1.0,1.0,10,24,24,10,28,1.0,1.0,20.8095148040632,2.08095148040632,0.7431969572879714
8,20.0,1.0,1.0,10,24,24,10,28,1.0,1.0,20.8095148040632,2.08095148040632,0.7431969572879714
8,50.0,1.0,1.0,10,24,24,10,28,1.0,1.0,20.8095148040632,2.08095148040632,0.7431969572879714
9,0.5,1.0,1.0,10,23,23,2,5,0.2,0.25,1.4622418325991586,0.7311209162995793,0.29244836651983175
9,1.0,1.0,1.0,10,23,23,5,14,0.5,0.7,7.683239417907973,1.5366478835815944,0.5488028155648552
9,2.0,1.0,1.0,10,23,23,8,18,0.8,0.9,12.868189854222624,1.608523731777828,0.7148994363457013
9,5.0,1.0,1.0,10,23,23,9,19,0.9,0.95,16.349324554390535,1.8165916171545038,0.8604907660205544
9,10.0,1.0,1.0,10,23,23,10,20,1.0,1.0,21.976149652517954,2.1976149652517956,1.0988074826258978
9,20.0,1.0,1.0,10,23,23,10,20,1.0,1.0,21.976149652517954,2.1976149652517956,1.0988074826258978
9,50.0,1.0,1.0,10,23,23,10,20,1.0,1.0,21.976149652517954,2.1976149652517956,1.0988074826258978
10,0.5,1.0,1.0,10,16,16,5,22,0.5,0.6111111111111112,3.221916781023196,0.6443833562046393,0.14645076277378163
10,1.0,1.0,1.0,10,16,16,6,27,0.6,0.75,6.847080319940217,1.1411800533233694,0.25359556740519323
10,2.0,1.0,1.0,10,16,16,9,34,0.9,0.9444444444444444,16.382824419382555,1.8203138243758394,0.4818477770406634
10,5.0,1.0,1.0,10,16,16,10,36,1.0,1.0,21.509985141578145,2.1509985141578145,0.5974995872660596
10,10.0,1.0,1.0,10,16,16,10,36,1.0,1.0,21.509985141578145,2.1509985141578145,0.5974995872660596
10,20.0,1.0,1.0,10,16,16,10,36,1.0,1.0,21.509985141578145,2.1509985141578145,0.5974995872660596
10,50.0,1.0,1.0,10,16,16,10,36,1.0,1.0,21.509985141578145,2.1509985141578145,0.5974995872660596
11,0.5,1.0,1.0,10,18,18,6,20,0.6,0.7407407407407407,3.5152328090308558,0.585872134838476,0.1757616404515428
11,1.0,1.0,1.0,10,18,18,7,23,0.7,0.8518518518518519,6.123563798897237,0.874794828413891,0.2662419042998799
11,2.0,1.0,1.0,10,18,18,7,23,0.7,0.8518518518518519,6.123563798897237,0.874794828413891,0.2662419042998799
11,5.0,1.0,1.0,10,18,18,9,26,0.9,0.9629629629629629,13.47113947125837,1.4967932745842634,0.5181207488945527
11,10.0,1.0,1.0,10,18,18,10,27,1.0,1.0,18.825154936307232,1.8825154936307231,0.6972279606039715
11,20.0,1.0,1.0,10,18,18,10,27,1.0,1.0,18.825154936307232,1.8825154936307231,0.6972279606039715
11,50.0,1.0,1.0,10,18,18,10,27,1.0,1.0,18.825154936307232,1.8825154936307231,0.6972279606039715
12,0.5,1.0,1.0,10,24,24,3,13,0.3,0.5652173913043478,2.7245906969029954,0.9081968989676651,0.2095838997617689
12,1.0,1.0,1.0,10,24,24,5,17,0.5,0.7391304347826086,5.839210045576134,1.1678420091152268,0.3434829438574197
12,2.0,1.0,1.0,10,24,24,6,19,0.6,0.8260869565217391,9.011003865654562,1.5018339776090937,0.4742633613502401
12,5.0,1.0,1.0,10,24,24,9,22,0.9,0.9565217391304348,19.92765908516584,2.2141843427962042,0.9058026856893563
12,10.0,1.0,1.0,10,24,24,10,23,1.0,1.0,27.603000778835163,2.7603000778835165,1.2001304686450072
12,20.0,1.0,1.0,10,24,24,10,23,1.0,1.0,27.603000778835163,2.7603000778835165,1.2001304686450072
12,50.0,1.0,1.0,10,24,24,10,23,1.0,1.0,27.603000778835163,2.7603000778835165,1.2001304686450072
13,0.5,1.0,1.0,10,20,20,4,10,0.4,0.5,3.9258016276164494,0.9814504069041123,0.3925801627616449
13,1.0,1.0,1.0,10,20,20,5,12,0.5,0.6,5.257289490538404,1.0514578981076808,0.43810745754486696
13,2.0,1.0,1.0,10,20,20,8,16,0.8,0.8,10.635388618925067,1.3294235773656333,0.6647117886828167
13,5.0,1.0,1.0,10,20,20,9,18,0.9,0.9,16.516466377964463,1.8351629308849402,0.9175814654424701
13,10.0,1.0,1.0,10,20,20,9,18,0.9,0.9,16.516466377964463,1.8351629308849402,0.9175814654424701
13,20.0,1.0,1.0,10,20,20,9,18,0.9,0.9,16.516466377964463,1.8351629308849402,0.9175814654424701
13,50.0,1.0,1.0,10,20,20,9,18,0.9,0.9,16.516466377964463,1.8351629308849402,0.9175814654424701
14,0.5,1.0,1.0,10,17,17,6,25,0.6,0.6097560975609756,6.526293412706697,1.0877155687844495,0.2610517365082679
14,1.0,1.0,1.0,10,17,17,9,37,0.9,0.9024390243902439,15.294756706489562,1.6994174118321734,0.4133718028780963
14,2.0,1.0,1.0,10,17,17,10,41,1.0,1.0,19.571080911196304,1.9571080911196304,0.47734343685844643
14,5.0,1.0,1.0,10,17,17,10,41,1.0,1.0,19.571080911196304,1.9571080911196304,0.47734343685844643
14,10.0,1.0,1.0,10,17,17,10,41,1.0,1.0,19.571080911196304,1.9571080911196304,0.47734343685844643
14,20.0,1.0,1.0,10,17,17,10,41,1.0,1.0,19.571080911196304,1.9571080911196304,0.47734343685844643
14,50.0,1.0,1.0,10,17,17,10,41,1.0,1.0,19.571080911196304,1.9571080911196304,0.47734343685844643
15,0.5,1.0,1.0,10,19,19,4,13,0.4,0.52,4.2636455395109625,1.0659113848777406,0.3279727338085356
15,1.0,1.0,1.0,10,19,19,6,19,0.6,0.76,8.258536408777578,1.376422734796263,0.4346598109882936
15,2.0,1.0,1.0,10,19,19,8,23,0.8,0.92,14.022585044600376,1.752823130575047,0.609677610634799
15,5.0,1.0,1.0,10,19,19,9,24,0.9,0.96,16.82221115186942,1.8691345724299357,0.7009254646612258
15,10.0,1.0,1.0,10,19,19,10,25,1.0,1.0,23.728926015626385,2.3728926015626386,0.9491570406250553
15,20.0,1.0,1.0,10,19,19,10,25,1.0,1.0,23.728926015626385,2.3728926015626386,0.9491570406250553
15,50.0,1.0,1.0,10,19,19,10,25,1.0,1.0,23.728926015626385,2.3728926015626386,0.9491570406250553
16,0.5,1.0,1.0,10,16,16,2,7,0.2,0.28,2.3261445746865403,1.1630722873432702,0.3323063678123629
16,1.0,1.0,1.0,10,16,16,4,15,0.4,0.6,6.740241860561062,1.6850604651402654,0.44934945737073745
16,2.0,1.0,1.0,10,16,16,7,22,0.7,0.88,16.0034482020569,2.2862068860081286,0.7274294637298592
16,5.0,1.0,1.0,10,16,16,9,24,0.9,0.96,21.29080262674239,2.36564473630471,0.8871167761142663
16,10.0,1.0,1.0,10,16,16,9,24,0.9,0.96,21.29080262674239,2.36564473630471,0.8871167761142663
16,20.0,1.0,1.0,10,16,16,9,24,0.9,0.96,21.29080262674239,2.36564473630471,0.8871167761142663
16,50.0,1.0,1.0,10,16,16,9,24,0.9,0.96,21.29080262674239,2.36564473630471,0.8871167761142663
17,0.5,1.0,1.0,10,22,22,6,25,0.6,0.6944444444444444,8.099510347025205,1.3499183911708676,0.32398041388100823
17,1.0,1.0,1.0,10,22,22,8,32,0.8,0.8888888888888888,11.975707248222033,1.4969634060277541,0.37424085150693853
