alpha,total_distance_km_mean,total_distance_km_std,completion_rate_mean,completion_rate_std,urgency_weighted_completion_mean,urgency_weighted_completion_std,distance_per_completed_task_mean,distance_per_completed_task_std,distance_per_completed_urgency_mean,distance_per_completed_urgency_std
0.5,4.6446,1.6714,0.46,0.1163,0.5951,0.1275,1.0026,0.2343,0.2655,0.062
1.0,8.5193,2.6953,0.6267,0.123,0.7768,0.0911,1.3482,0.2702,0.3706,0.0707
2.0,13.6956,3.1262,0.8067,0.0907,0.914,0.047,1.6908,0.3144,0.5142,0.1057
5.0,18.8424,3.409,0.9333,0.0661,0.9724,0.0288,2.0115,0.2881,0.6723,0.1389
10.0,22.0368,3.3774,0.9833,0.0461,0.9921,0.0228,2.2385,0.3114,0.7847,0.2084
20.0,22.0368,3.3774,0.9833,0.0461,0.9921,0.0228,2.2385,0.3114,0.7847,0.2084
50.0,22.0368,3.3774,0.9833,0.0461,0.9921,0.0228,2.2385,0.3114,0.7847,0.2084
